bandno;n;nominal;Ba;Aa;Bb;Ab;Bc;Ac;notes
81;-160;10;0.255741125204977;1;0.217263095329831;1;0.217008561949830;1;
82;-159;10.3;-0.511482250404931;-4.01957618111583;-0.217263095325564;-3.11234616416030;4.26243498156100e-12;-2.13467496368704;
83;-158;10.6;-0.255741125222516;6.18940644292069;-0.434526190670295;3.36634376760418;-0.434017123906017;1.27933353323606;
84;-157;10.9;1.02296450083489;-4.45319890354411;0.434526190661760;-1.40032739733399;-4.26243498156030e-12;-0.149559846089394;
85;-156;11.2;-0.255741125194931;1.42084294962187;0.217263095340464;0.151129054443439;0.217008561956188;0.00490870017462466;'bandno 14 terz'
86;-155;11.5;-0.511482250429963;-0.141825473830303;-0.217263095336196;-0.00479909479248859;0;0;'bandno 15 oktav'
87;-154;11.8;0.255741125212470;0.00435117723349507;0;0;0;0;
88;-153;12.2;0;0;0;0;0;0;
89;-152;12.5;0;0;0;0;0;0;
90;-151;12.8;0;0;0;0;0;0;
91;-150;13.2;0;0;0;0;0;0;
92;-149;13.6;0;0;0;0;0;0;
93;-148;14;0;0;0;0;0;0;
94;-147;14.5;0;0;0;0;0;0;
95;-146;15;0;0;0;0;0;0;
96;-145;15.5;0;0;0;0;0;0;
97;-144;16;0;0;0;0;0;0;
98;-143;16.5;0;0;0;0;0;0;
99;-142;17;0;0;0;0;0;0;
100;-141;17.5;0;0;0;0;0;0;
101;-140;18;0;0;0;0;0;0;
102;-139;18.5;0;0;0;0;0;0;
103;-138;19;0;0;0;0;0;0;
104;-137;19.5;0;0;0;0;0;0;
105;-136;20;0;0;0;0;0;0;
106;-135;20.6;0;0;0;0;0;0;
107;-134;21.2;0;0;0;0;0;0;
108;-133;21.8;0;0;0;0;0;0;
109;-132;22.4;0;0;0;0;0;0;
110;-131;23;0;0;0;0;0;0;
111;-130;23.6;0;0;0;0;0;0;
112;-129;24.3;0;0;0;0;0;0;
113;-128;25;0;0;0;0;0;0;
114;-127;25.8;0;0;0;0;0;0;
115;-126;26.5;;;;;;;
116;-125;27.2;;;;;;;
117;-124;28;;;;;;;
118;-123;29;;;;;;;
119;-122;30;;;;;;;
120;-121;30.7;;;;;;;
121;-120;31.5;;;;;;;
122;-119;32.5;;;;;;;
123;-118;33.5;;;;;;;
124;-117;34.5;;;;;;;
125;-116;35.5;;;;;;;
126;-115;36.5;;;;;;;
127;-114;37.5;;;;;;;
128;-113;38.7;;;;;;;
129;-112;40;;;;;;;
130;-111;41.2;;;;;;;
131;-110;42.5;;;;;;;
132;-109;43.7;;;;;;;
133;-108;45;;;;;;;
134;-107;46.2;;;;;;;
135;-106;47.5;;;;;;;
136;-105;48.7;;;;;;;
137;-104;50;;;;;;;
